"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","task","pixels_per_unit","is_correct","search_difficulty","enhanced","originalDigits","currentSpanLength","reversedDigits","span_length","correct_digits","digit_accuracy","trial_Type","VISsearch_propcorrect","VISsearch_meanRT","DSBpre_propcorrect","DSBpre_maxspan","DSBpre_digitaccuracy","DSBpre_rt","vegetationLevel","imageType","DSBpost_propcorrect","DSBpost_maxspan","DSBpost_digitaccuracy","DSBpost_rt","block","trial","trialid","VisDifficulty","Vis_meanRT","Vis_propCorr","imageIDX","attention_check_correct","target_button","question_order","image_id","iamge_set"
"","","","","","html-keyboard-response","111","790137","0.0-105.0","39","male","null","","null","","","","","","","","","","","","vissearch-summary-calculation","1","944.1800000011921","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","112","791516","0.0-106.0","39","male","1377","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","113","800446","0.0-107.0","39","male","","DSB","","DSB 09920997","","","","","[0,9,9,2,0,9,9,7]","8","79902990","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","114","824711","0.0-108.0","39","male","827220.1000000238","DSBrecall","79902990","DSBrecall","","true","","","","","","8","8","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","dsb-summary-calculation","115","824713","0.0-109.0","39","male","null","","null","","","","","","","","","","","","","","","1","8","1","827220.1000000238","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","116","825898","0.0-110.0","39","male","1183","image_instruct","0","image_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","117","840901","0.0-111.0","39","male","null","img9","null","img9","","","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","118","842907","0.0-112.0","39","male","2005","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","119","851838","0.0-113.0","39","male","","DSB","","DSB 68370171","","","","","[6,8,3,7,0,1,7,1]","8","17107386","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","120","873547","0.0-114.0","39","male","876056.7000000179","DSBrecall","18107486","DSBrecall","","false","","","","","","8","6","0.75","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","dsb-summary-calculation","121","873550","0.0-115.0","39","male","null","","null","","","","","","","","","","","","","","","","","","","","","0","0","0.75","876056.7000000179","","","","","","","","","","","",""
"","","","","","consolidated-trial-data","122","873551","0.0-116.0","39","male","null","consolidated-trial-data","null","consolidated-trial-data","","","","","","","","","","","","","","1","8","1","","3","1","0","0","0.75","","0","2","39","1","944.1800000011921","1","9","","","","",""
"","","","","","html-button-response","123","875085","0.0-117.0","39","male","1533","block message","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","124","876585","0.0-118.0","39","male","1499","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","125","877525","0.0-119.0","39","male","939.1999999880791","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","126","878505","0.0-120.0","39","male","978.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","127","879480","0.0-121.0","39","male","973.5999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","128","880317","0.0-122.0","39","male","836.0999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","129","881500","0.0-123.0","39","male","1181.9000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","130","882371","0.0-124.0","39","male","869.8000000119209","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","131","883492","0.0-125.0","39","male","1120","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","132","884225","0.0-126.0","39","male","731.5999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","133","885225","0.0-127.0","39","male","998.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","134","886341","0.0-128.0","39","male","1114.9000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","135","886350","0.0-129.0","39","male","null","","null","","","","","","","","","","","","vissearch-summary-calculation","1","974.4099999994039","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","136","887632","0.0-130.0","39","male","1281","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","137","896561","0.0-131.0","39","male","","DSB","","DSB 10042666","","","","","[1,0,0,4,2,6,6,6]","8","66624001","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","138","912944","0.0-132.0","39","male","915453.400000006","DSBrecall","66624001","DSBrecall","","true","","","","","","8","8","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","dsb-summary-calculation","139","912946","0.0-133.0","39","male","null","","null","","","","","","","","","","","","","","","1","8","1","915453.400000006","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","140","913973","0.0-134.0","39","male","1027","image_instruct","0","image_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","141","928976","0.0-135.0","39","male","null","img2","null","img2","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","142","930309","0.0-136.0","39","male","1332","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","143","939239","0.0-137.0","39","male","","DSB","","DSB 28523137","","","","","[2,8,5,2,3,1,3,7]","8","73132582","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","144","959265","0.0-138.0","39","male","961774.5","DSBrecall","73132582","DSBrecall","","true","","","","","","8","8","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","dsb-summary-calculation","145","959268","0.0-139.0","39","male","null","","null","","","","","","","","","","","","","","","","","","","","","1","8","1","961774.5","","","","","","","","","","","",""
"","","","","","consolidated-trial-data","146","959269","0.0-140.0","39","male","null","consolidated-trial-data","null","consolidated-trial-data","","","","","","","","","","","","","","1","8","1","","2","2","1","8","1","","0","3","39","1","974.4099999994039","1","2","","","","",""
"","","","","","html-button-response","147","961291","0.0-141.0","39","male","2022","block message","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","148","962543","0.0-142.0","39","male","1251","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","149","963725","0.0-143.0","39","male","1181.5999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","150","964595","0.0-144.0","39","male","869","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","151","965721","0.0-145.0","39","male","1124.0999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","152","966566","0.0-146.0","39","male","844.4000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","153","967345","0.0-147.0","39","male","777.3000000119209","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","154","968162","0.0-148.0","39","male","815.5999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","155","969209","0.0-149.0","39","male","1046.199999988079","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","156","970183","0.0-150.0","39","male","972.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","157","971021","0.0-151.0","39","male","837.8000000119209","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","158","971995","0.0-152.0","39","male","972.2000000178814","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","159","971996","0.0-153.0","39","male","null","","null","","","","","","","","","","","","vissearch-summary-calculation","1","944.0700000017881","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","160","973104","0.0-154.0","39","male","1108","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","161","982032","0.0-155.0","39","male","","DSB","","DSB 73847574","","","","","[7,3,8,4,7,5,7,4]","8","47574837","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","162","1014161","0.0-156.0","39","male","1016670.7000000179","DSBrecall","47574837","DSBrecall","","true","","","","","","8","8","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","dsb-summary-calculation","163","1014164","0.0-157.0","39","male","null","","null","","","","","","","","","","","","","","","1","8","1","1016670.7000000179","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","164","1015254","0.0-158.0","39","male","1089","image_instruct","0","image_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","165","1030257","0.0-159.0","39","male","null","img6","null","img6","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","166","1034960","0.0-160.0","39","male","4702","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","167","1043889","0.0-161.0","39","male","","DSB","","DSB 31809754","","","","","[3,1,8,0,9,7,5,4]","8","45790813","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","168","1062134","0.0-162.0","39","male","1064643.300000012","DSBrecall","45790813","DSBrecall","","true","","","","","","8","8","1","","","","","","","","","","","","","","","","","","","","","","","","",""
